ticket_id,order_id,pax_id,merchant_id,merchant_name,brand_name,merchant_segment,ticket_type,phoenix_disposition,rna_amount_sgd,ItemName,ItemQuantity,ItemPriceInMinorUnits,TotalRefundPriceInMin,entity_id,entity_type,max_predict_gmv,min_predict_gmv,avg_predict_gmv,latest_predict_gmv,avg_gmv_percentile,max_predict_revenue,min_predict_revenue,avg_predict_revenue,latest_predict_revenue,avg_revenue_percentile,max_predict_profit,min_predict_profit,avg_predict_profit,latest_predict_profit,avg_profit_percentile,extracted_text,description,date_local
572070915,4055147-C6NEV4JZVEVXCE,4055147,4-CYV1R2TFEZA3V6,Kimly Dim Sum - Clementi Ave 3,Kimly Dim Sum,Enterprise,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,1.3,08. Custard Pau 奶黄包,1,130,130,4055147,PAX_ID,159.98,157.01,158.86,157.01,0.9879,28.63,28.48,28.54333333,28.52,0.9872,12.96,12.13,12.42666667,12.96,0.9868," Missing custard pau. Only 4 char siew pau, 2 vegetable pau and 1 coffee pau arrived. The char siew and vegetable pau came in styrofoam box, the coffee pau came in paper bag. ","What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is not sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: 1X  08. Custard Pau 奶黄包  Description: Missing custard pau. Only 4 char siew pau, 2 vegetable pau and 1 coffee pau arrived. The char siew and vegetable pau came in styrofoam box, the coffee pau came in paper bag. ",16/6/24
572070935,154586651-C6NEV3TKAPCGFE,154586651,4-CYWCAX2VHB3TTX,Kaffe & Toast - Tampines Mall #01-45,Kaffe & Toast,Small,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,3,,,,,154586651,PAX_ID,115.35,100.72,107.6566667,115.35,0.9578,25.94,25.4,25.61,25.4,0.9731,0.93,-0.51,-0.006666667,-0.44,0.0646, Missing,What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: SET A Kaya Butter Toast1X  Soft-Boiled Eggs  Description: Missing,16/6/24
572265349,89267182-C6NFGA2WR24KUA,89267182,4-C25VEBVJGFWJRE,Guzman Y Gomez - Waterway Point,Guzman Y Gomez,Medium,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,3,,,,,89267182,PAX_ID,12.18,11.91,12.05666667,12.18,0.71,2.53,2.52,2.523333333,2.53,0.6937,0.23,0.23,0.23,0.23,0.3884, didnt receive my cola drink,What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: Cola Bundle A1X  Coca-Cola Coke Zero Sugar  Description: didnt receive my cola drink,16/6/24
575667002,1609970-C6NXRET1DGBZDE,1609970,4-C261CP3ZGEUBFA,5G Restaurant / Neethe - Kebun Baru Heights,5G Restaurant / Neethe,Small,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,6.6,HD20. Halia-O,1,180,180,1609970,PAX_ID,133.89,127.79,130.97,127.79,0.9702,26.61,25.86,26.14,26.61,0.9752,11.05,10.14,10.51,10.14,0.9733, teas are missing ,What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: 1X  HD20. Halia-O3X  HD1. Teh Tarik  Description: teas are missing ,27/6/24
569940804,282319666-C6M3FBAJVUEBAJ,282319666,4-C263V2WUAXA3EJ,Wingstop - Wisteria Mall,Wingstop,Enterprise,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,2.5,6 Piece Boneless Wings Combo,0,1420,0,282319666,PAX_ID,160.07,157.71,158.6766667,157.71,0.9876,28.88,28.84,28.85333333,28.88,0.9911,10.87,9.41,10.12,10.87,0.9707,i ordered two but came one,"What would you like us to do for you?: I want Grab to review my case & get back to me  How was the packaging provided?: Delivery-friendly, eg: sealed cups or wrapped containers  Is your order for delivery to a Recipient in another country?: No  Describe your issue: preparation  Affected items: 1X  Voodoo Fries (Large)  Please describe the issue with the item: i ordered two but came one",9/6/24
568317314,199067994-C6MYARJATEX1AN,199067994,4-C6EAPBVZR751FA,I Love Taimei - Sun Plaza,I Love Taimei,Small,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,1.2,Honey Osmanthus Oolong Tea 蜂蜜桂花乌龙茶 Large,0,580,0,199067994,PAX_ID,94.08,41.69,61.18666667,94.08,0.9181,10.75,9.26,10.14666667,10.75,0.8988,4.04,2.93,3.556666667,4.04,0.8845,"you like us to do for you?: I want Grab to review my case & get back to me  How was the packaging provided?: Delivery-friendly, eg: sealed cups or wrapped containers  Is your order for delivery to a Recipient in another country?: No  Describe your issue: instruction  Affected items: Honey Osmanthus Oolong Tea 蜂蜜桂花乌龙茶 Large1X  Grass Jelly  Please describe the issue with the item: 没有添加到我的饮料里","What would you like us to do for you?: I want Grab to review my case & get back to me  How was the packaging provided?: Delivery-friendly, eg: sealed cups or wrapped containers  Is your order for delivery to a Recipient in another country?: No  Describe your issue: instruction  Affected items: Honey Osmanthus Oolong Tea 蜂蜜桂花乌龙茶 Large1X  Grass Jelly  Please describe the issue with the item: 没有添加到我的饮料里",4/6/24
575703912,9499795-C6NXTET1CCEHWE,9499795,4-CZDUFENHJB2VHE,Haji Kadir - Lavender Street,Haji Kadir,Small,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,6.5,Nasi Goreng (PUTEH) 🍝🍴,0,780,0,9499795,PAX_ID,160.97,159.27,160.4033333,159.27,0.9913,29,28.94,28.97666667,28.94,0.9947,13,12.99,12.99666667,13,0.9967,Forgot the drinks,"What would you like us to do for you?: I want Grab to review my case & get back to me  How was the packaging provided?: Not delivery-friendly, eg: disposable caps  Is your order for delivery to a Recipient in another country?: No  Describe your issue: instruction  Affected items: 1X  Coffee O 🔥1X  Teh 🔥  Please describe the issue with the item: Forgot the drinks",27/6/24
567080619,6892638-C6MVA7BVWBEKAT,6892638,4-C6K3GVK3LAM2LE,Burger King - Anchorvale,Burger King,Enterprise,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,3,,,,,6892638,PAX_ID,40.45,40.15,40.26,40.15,0.8777,10.79,10.53,10.70333333,10.79,0.9039,4.05,4.05,4.05,4.05,0.8984, Missing toy frm BK junior ,What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: King Jr. Pancakes (2 pcs)1X  Toy  Description: Missing toy frm BK junior ,1/6/24
570332964,11242440-C6NAEZJXVNEEEX,11242440,4-CZDTAY6FPA3UHA,Wingstop - Hillion Mall,Wingstop,Enterprise,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,7.75,Family Pack (4-5 pax),0,6350,0,11242440,PAX_ID,41.64,36.1,39.78,36.1,0.8764,8.49,6.29,7.476666667,6.29,0.8656,1.64,0.42,1.223333333,0.42,0.7227,I did not receive mushroom fritters,"What would you like us to do for you?: I want Grab to review my case & get back to me  How was the packaging provided?: Delivery-friendly, eg: sealed cups or wrapped containers  Is your order for delivery to a Recipient in another country?: No  Describe your issue: instruction  Affected items: Family Pack (4-5 pax)1X  Mushroom Fritters (Large)  Please describe the issue with the item: I did not receive mushroom fritters",10/6/24
570634864,184092283-C6NBBCCTRK5EGA,184092283,4-CZEUR7KXT2JJGJ,Guzman Y Gomez - Novena Square #01-68/69,Guzman Y Gomez,Medium,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,3,,,,,184092283,PAX_ID,96.6,87.26,90.62,96.6,0.9467,21.32,20.92,21.08,21,0.958,6.04,5.48,5.733333333,6.04,0.9317, I only got one can of coke zero even though i ordered too,What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: Regular Fries Meal1X  Coca-Cola Coke Zero Sugar  Description: I only got one can of coke zero even though i ordered too,11/6/24
567262334,240304887-C6MVG6VESAJBG2,240304887,SGDD04940,McDonald's - Bukit Batok,McDonald's,Enterprise,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,19.6,Snack Bundle,1,2500,1960,240304887,PAX_ID,152.96,152.6,152.74,152.96,0.9821,28.96,28.47,28.64,28.47,0.9882,8.17,6.13,7.16,8.17,0.9484, Missing 1x Large Fries and all the Sesame & Seaweed shaker for the other fries,What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: 1X  Snack BundleMcNuggets® (9pc) Upsized Meal1X  Roasted Sesame & Seaweed McShaker Fries  Description: Missing 1x Large Fries and all the Sesame & Seaweed shaker for the other fries,1/6/24
567996546,12495718-C6MXCTEKGGL3VN,12495718,SGDD06689,McDonald's - Ang Mo Kio 4,McDonald's,Enterprise,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,2.95,Hershey’s Hot Fudge Sundae,1,295,295,12495718,PAX_ID,113.22,104.96,107.7733333,104.96,0.9579,25.55,23.49,24.85333333,25.55,0.9705,4.56,3.42,4.13,4.56,0.9005, Missing the hot fudge sundae. Called the rider and he said he didn’t receive this item from McDonald’s. ,What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: 1X  Hershey’s Hot Fudge Sundae  Description: Missing the hot fudge sundae. Called the rider and he said he didn’t receive this item from McDonald’s. ,3/6/24
576496117,5459757-C6N1DGCKRYCBEX,5459757,4-C2VEHFVWCYLVAJ,HarbourFront Centre - Mix & Match,Harbourfront Centre - Mix & Match,Micro,helpcenter,P4_MISSING_ITEMS_IN_ORDER_MEX,4.8,,0,0,0,5459757,PAX_ID,161,160.99,160.9966667,160.99,0.9965,29,28.21,28.73666667,28.21,0.9893,10.54,10.03,10.23,10.12,0.9714, The drink is missing from the order,What would you like us to do for you?: I want Grab to review my case & get back to me  Did you receive your order in secured packaging?: My order is sealed (with sticker labels or ties)  Is your order for delivery to a Recipient in another country?: No  Issue Type: missing  Affected items: Yong Tau Foo Set1X  Iced Tea O1X  Di Lo - No Water Added1X  Kosong - No Sugar (0%)  Description: The drink is missing from the order,30/6/24
